PM2.5 AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,AQI Category Numerical,AQI Category
51,1,36,0,1,Moderate
41,1,5,1,0,Good
66,1,39,2,1,Moderate
34,1,34,0,0,Good
22,0,22,0,0,Good
54,1,14,11,1,Moderate
62,1,35,3,1,Moderate
64,1,29,7,1,Moderate
54,1,41,1,1,Moderate
142,3,89,9,5,Unhealthy for Sensitive Groups
68,2,68,1,1,Moderate
41,1,24,6,0,Good
158,3,139,1,2,Unhealthy
158,1,50,1,2,Unhealthy
83,1,46,0,1,Moderate
59,1,30,4,1,Moderate
154,3,100,2,2,Unhealthy
55,1,47,0,1,Moderate
72,1,4,23,1,Moderate
161,2,71,0,2,Unhealthy
28,1,28,2,0,Good
118,2,30,2,5,Unhealthy for Sensitive Groups
33,0,10,1,0,Good
150,3,95,6,2,Unhealthy
154,5,0,13,2,Unhealthy
81,1,24,1,1,Moderate
67,1,16,2,1,Moderate
62,1,37,1,1,Moderate
31,1,31,0,0,Good
56,1,35,0,1,Moderate
77,2,22,15,1,Moderate
44,1,15,0,0,Good
30,1,9,2,0,Good
30,1,30,1,0,Good
79,3,18,5,1,Moderate
34,1,19,7,0,Good
51,1,20,5,1,Moderate
77,1,34,0,1,Moderate
61,1,32,3,1,Moderate
32,1,7,2,0,Good
64,3,64,4,1,Moderate
29,0,29,0,0,Good
51,1,23,0,1,Moderate
247,3,162,1,3,Very Unhealthy
45,1,32,7,0,Good
36,1,25,3,0,Good
81,2,81,4,1,Moderate
124,2,15,5,5,Unhealthy for Sensitive Groups
72,1,26,2,1,Moderate
55,0,32,1,1,Moderate
31,0,31,0,0,Good
157,1,89,0,2,Unhealthy
60,1,31,1,1,Moderate
153,1,40,0,2,Unhealthy
22,0,19,0,0,Good
30,1,17,0,0,Good
44,1,34,0,0,Good
47,1,37,4,0,Good
37,0,32,2,0,Good
44,1,14,8,0,Good
58,2,14,24,1,Moderate
37,0,33,0,0,Good
89,3,3,6,1,Moderate
52,2,38,7,1,Moderate
59,2,16,0,1,Moderate
51,1,25,6,1,Moderate
66,1,26,1,1,Moderate
38,1,38,0,0,Good
34,1,30,7,0,Good
88,2,11,20,1,Moderate
54,1,31,3,1,Moderate
44,1,28,3,0,Good
51,1,26,6,1,Moderate
67,2,15,23,1,Moderate
42,1,5,2,0,Good
189,2,99,1,2,Unhealthy
49,1,25,3,0,Good
203,5,203,5,3,Very Unhealthy
35,0,32,0,0,Good
90,1,25,2,1,Moderate
67,1,26,1,1,Moderate
36,0,34,1,0,Good
48,1,28,4,0,Good
41,1,28,10,0,Good
19,0,19,1,0,Good
73,1,43,0,1,Moderate
45,0,18,1,0,Good
170,1,43,0,2,Unhealthy
47,1,47,1,0,Good
155,3,82,1,2,Unhealthy
46,1,9,1,0,Good
172,5,2,11,2,Unhealthy
64,1,15,2,1,Moderate
44,1,44,1,0,Good
150,3,150,1,2,Unhealthy
142,4,113,9,5,Unhealthy for Sensitive Groups
21,0,13,0,0,Good
47,1,42,0,0,Good
48,1,48,1,0,Good
54,1,20,0,1,Moderate
60,1,44,3,1,Moderate
166,4,8,19,2,Unhealthy
27,0,23,1,0,Good
23,1,7,1,0,Good
31,1,13,0,0,Good
88,3,13,9,1,Moderate
90,2,22,9,1,Moderate
28,1,15,0,0,Good
51,1,38,0,1,Moderate
170,1,38,0,2,Unhealthy
22,0,9,1,0,Good
168,4,168,1,2,Unhealthy
40,1,40,0,0,Good
47,1,27,2,0,Good
59,1,32,0,1,Moderate
133,4,23,3,5,Unhealthy for Sensitive Groups
29,1,29,1,0,Good
73,2,2,8,1,Moderate
50,0,24,0,0,Good
25,0,9,1,0,Good
90,3,18,2,1,Moderate
81,2,26,3,1,Moderate
29,0,20,1,0,Good
21,0,8,1,0,Good
44,1,16,1,0,Good
65,1,12,0,1,Moderate
66,2,7,6,1,Moderate
53,1,28,10,1,Moderate
56,0,23,0,1,Moderate
57,1,26,3,1,Moderate
62,0,35,0,1,Moderate
167,4,167,1,2,Unhealthy
49,1,27,4,0,Good
55,2,25,11,1,Moderate
34,1,34,0,0,Good
80,1,25,0,1,Moderate
163,2,92,0,2,Unhealthy
